name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
More Than Words Can Say,Alias,1990,0.16,0.64,0.42,0.61,0.37,0,0.36,0.1,0.61,0.05,0.32,4,0.15,Sweet Rock
Someday,The Strokes,2001,0.12,0.76,0.55,0,0.52,0,0.82,0.36,0.73,0.05,0.49,4,0.68,Sweet Rock
I Want to Take You Higher,Sly & The Family Stone,1969,0.22,0.58,0.62,0.12,0.85,0.77,0.82,0.3,0.65,0.1,0.47,4,0.52,Old Rock
Sirens,The Pack a.d.,2013,0.14,0.23,0.42,0.03,0.88,0.86,0.09,0.17,0.75,0.13,0.7,4,0.27,Modern Rock
What A Waste,Sonic Youth,2006,0.14,0.26,0.29,0,0.87,0.12,0.82,0.19,0.73,0.09,0.71,4,0.47,Modern Rock
On the Beach,Chris Rea,1988,0.15,0.63,0.74,0.23,0.73,0,0.45,0.05,0.73,0.07,0.59,4,0.97,Sweet Rock
Wasted Time,Kings of Leon,2003,0.11,0.5,0.7,0.01,0.73,0,1,0.18,0.8,0.08,0.56,4,0.89,Modern Rock
The Ex,Billy Talent,2003,0.1,0.55,0.45,0,0.88,0,0.55,0.35,0.67,0.16,0.74,4,0.59,Modern Rock
The Widow,The Mars Volta,2005,0.24,0.62,0.24,0.63,0.66,0.01,0.82,0.27,0.77,0.06,0.49,3,0.11,Modern Rock
These Dreams,Heart,1985,0.17,0.69,0.54,0.51,0.53,0,1,0.08,0.66,0.05,0.36,4,0.3,Sweet Rock
I Need A Lover,John Mellencamp,1978,0.23,0.6,0.42,0,0.85,0.01,0.55,0.36,0.79,0.11,0.58,4,0.8,Old Rock
The Jack,AC/DC,1976,0.24,0.65,0.65,0.01,0.47,0,0.82,0.19,0.76,0.11,0.52,4,0.37,Old Rock
Heart of the Sunrise - 2003 Remaster,Yes,1971,0.44,0.56,0.37,0.02,0.51,0.22,0.09,0.1,0.62,0.07,0.67,3,0.44,Old Rock
Lady Madonna - Remastered 2015,The Beatles,2000,0.09,0.73,0.66,0.14,0.78,0.35,0.18,0.21,0.8,0.05,0.5,4,0.58,Sweet Rock
Djed,Tortoise,1996,0.87,0.33,0.55,0.66,0.43,0.86,0.82,0.17,0.52,0.12,0.54,4,0.4,Sweet Rock
Fallen Angel,Elbow,2003,0.17,0.37,0.39,0.02,0.75,0,0,0.42,0.8,0.05,0.8,4,0.41,Modern Rock
I Summon You,Spoon,2005,0.16,0.46,0.85,0.13,0.65,0.01,0.36,0.1,0.71,0.1,0.59,4,0.96,Modern Rock
Hard Habit to Break - 2006 Remaster,Chicago,1984,0.19,0.71,0.59,0.45,0.61,0,0.18,0.16,0.78,0.05,0.37,4,0.41,Sweet Rock
Seventeen,Winger,1988,0.16,0.7,0.58,0,0.68,0,0.73,0.05,0.6,0.05,0.44,4,0.68,Sweet Rock
Sitting By the Riverside - 2018 Stereo Remaster,The Kinks,1968,0.09,0.37,0.54,0.44,0.64,0,0,0.26,0.72,0.05,0.63,4,0.78,Old Rock
"Cry, Cry, Cry - 1988 Version",Johnny Cash,2011,0.09,0.35,0.74,0.16,0.79,0,0.36,0.1,0.69,0.08,0.5,4,0.72,Modern Rock
Whiskey In The Jar,Thin Lizzy,1972,0.23,0.76,0.56,0.53,0.69,0,0.64,0.19,0.63,0.08,0.59,4,0.75,Old Rock
Runnin' Back To Saskatoon - ReEdited Single Version,The Guess Who,2010,0.14,0.29,0.51,0.32,0.69,0,0.18,0.99,0.67,0.07,0.54,4,0.64,Modern Rock
"Banditos [In the Style of ""The Refreshments""]",Done Again,2011,0.17,0.11,0.55,0.3,0.88,0,0.36,0.11,0.71,0.11,0.67,4,0.68,Modern Rock
Dreams,Van Halen,1986,0.2,0.74,0.46,0.22,0.76,0,0,0.09,0.62,0.08,0.65,4,0.55,Sweet Rock
Reena,Sonic Youth,2006,0.15,0.33,0.29,0.01,0.96,0.43,0,0.13,0.77,0.14,0.68,4,0.37,Modern Rock
Runaways,The Killers,2012,0.16,0.71,0.41,0,0.84,0.01,0.09,0.07,0.83,0.07,0.56,4,0.2,Modern Rock
Take You On A Cruise,Interpol,2004,0.2,0.51,0.48,0,0.93,0.83,0.18,0.09,0.84,0.07,0.54,4,0.37,Modern Rock
Sweet Harmony,The Beloved,1993,0.2,0.74,0.58,0.01,0.84,0.09,0.91,0.04,0.7,0.06,0.47,4,0.8,Sweet Rock
Ready Teddy,Little Richard,1957,0.08,0.5,0.54,0.68,0.68,0,0.45,0.09,0.78,0.35,0.95,4,0.98,Old Rock
Love Train,The O'Jays,1972,0.12,0.82,0.75,0.19,0.57,0,0,0.15,0.67,0.09,0.56,4,0.69,Old Rock
Angel Eyes,The Jeff Healey Band,1988,0.22,0.27,0.44,0.54,0.48,0,0,0.04,0.7,0.04,0.29,4,0.29,Sweet Rock
Sowing The Seeds Of Love,Tears For Fears,1989,0.26,0.75,0.21,0.01,0.8,0,0,0.35,0.74,0.08,0.79,4,0.69,Sweet Rock
To The Hilt,Various Artists,1999,0.18,0.46,0.63,0.01,0.91,0.31,0.18,0.03,0.78,0.06,0.45,4,0.89,Sweet Rock
Wild Child - Remastered,Lou Reed,1972,0.19,0.32,0.72,0.36,0.84,0.05,0.18,0.17,0.74,0.07,0.57,4,0.94,Old Rock
You Gotta Know Remix,Supergroove,1994,0.14,0.3,0.71,0,0.93,0,0.64,0.27,0.69,0.13,0.53,4,0.71,Sweet Rock
"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,2002,0.19,0.74,0.56,0.34,0.9,0,0,0.14,0.72,0.17,0.72,4,0.63,Modern Rock
On A Plain,Nirvana,1991,0.13,0.64,0.43,0,0.95,0,0.18,0.13,0.81,0.19,0.61,4,0.36,Sweet Rock
Coffee and TV,Blur,1999,0.24,0.8,0.75,0.05,0.74,0.23,0.18,0.09,0.65,0.07,0.56,4,0.71,Sweet Rock
Make It Wit Chu,Queens of the Stone Age,2007,0.2,0.69,0.71,0.36,0.81,0,0.82,0.12,0.79,0.05,0.42,4,0.58,Modern Rock
Katmandu,Yusuf / Cat Stevens,1970,0.13,0.51,0.68,0.93,0.12,0.04,0.91,0.09,0.42,0.08,0.47,4,0.38,Old Rock
You're so Vain,Carly Simon,1972,0.17,0.89,0.67,0.16,0.68,0,0,0.07,0.71,0.06,0.49,4,0.65,Old Rock
Honey Don't,Carl Perkins,1957,0.11,0.46,0.73,0.56,0.72,0,0.36,0.25,0.73,0.09,0.4,4,0.94,Old Rock
Glass Onion - Remastered 2009,The Beatles,1968,0.09,0.63,0.53,0.01,0.51,0,0.64,0.1,0.66,0.09,0.55,4,0.8,Old Rock
Invisible Touch - 2007 Remaster,Genesis,1986,0.14,0.71,0.67,0.34,0.88,0,0,0.06,0.77,0.05,0.6,4,0.85,Sweet Rock
King Of The Mountain - Remastered,Midnight Oil,1997,0.15,0.57,0.52,0.05,0.9,0,0.82,0.14,0.73,0.1,0.68,4,0.81,Sweet Rock
I'm In Love Again,Fats Domino,2002,0.07,0.46,0.69,0.83,0.63,0,0.09,0.01,0.82,0.07,0.59,4,0.97,Modern Rock
Look Away,Big Country,1986,0.18,0.55,0.57,0.03,0.84,0.6,0.09,0.13,0.65,0.06,0.59,4,0.83,Sweet Rock
It Must Be Love,Madness,1981,0.14,0.68,0.54,0.1,0.61,0,0.64,0.25,0.79,0.06,0.67,4,0.73,Old Rock
"Hello Again - From ""The Jazz Singer"" Soundtrack",Neil Diamond,1980,0.16,0.63,0.27,0.42,0.21,0,0,0.11,0.46,0.06,0.56,4,0.1,Old Rock
Ribcage,Elbow,2003,0.26,0.26,0.73,0.64,0.42,0.17,0.64,0.07,0.64,0.06,0.6,4,0.21,Modern Rock
Charlie Big Potato,Skunk Anansie,1999,0.22,0.52,0.39,0.01,0.82,0,0.82,0.05,0.73,0.19,0.73,4,0.31,Sweet Rock
Rip It Up,Elvis Presley,1956,0.07,0.52,0.68,0.68,0.78,0,0.36,0.1,0.68,0.08,0.47,4,0.89,Old Rock
Venus,Television,1977,0.15,0.56,0.56,0,0.63,0.18,0,0.04,0.61,0.07,0.53,4,0.92,Old Rock
Where The River Flows,Collective Soul,1995,0.14,0.67,0.74,0.34,0.72,0,0,0.1,0.74,0.06,0.59,4,0.97,Sweet Rock
Harmonicas & Tambourines,Hot Hot Heat,2007,0.12,0.21,0.42,0,0.98,0.12,0.82,0.28,0.86,0.29,0.73,4,0.42,Modern Rock
Don't Shed a Tear,Paul Carrack,1987,0.2,0.54,0.65,0.06,0.66,0,1,0.04,0.62,0.06,0.5,4,0.95,Sweet Rock
Donna - Single Version,Ritchie Valens,1959,0.1,0.67,0.48,0.87,0.22,0,0.45,0.1,0.58,0.05,0.46,3,0.29,Old Rock
Life's What You Make It - 1997 Remaster,Talk Talk,1986,0.18,0.71,0.53,0,0.8,0.29,0.09,0.03,0.73,0.06,0.42,4,0.94,Sweet Rock
Killed By Death - Live Hamburg Germany 1998,Moțrhead,1999,0.26,0.15,0.17,0,1,0.68,0.09,0.98,0.83,0.22,0.65,4,0.03,Sweet Rock
Tear It Up,Johnny Burnette & The Rock 'N' Roll Trio,2008,0.07,0.32,0.62,0.65,0.67,0,0.36,0.52,0.67,0.09,0.5,4,0.7,Modern Rock
Kingdom,Ultramarine,2014,0.2,0.1,0.78,0.07,0.4,0.04,0,0.19,0.58,0.06,0.5,4,0.36,Modern Rock
Turn On Me,The Shins,2007,0.15,0.49,0.57,0,0.87,0,0,0.1,0.79,0.06,0.56,4,0.48,Modern Rock
The Stops,Elbow,2005,0.2,0.27,0.42,0.79,0.29,0,0.36,0.49,0.58,0.16,0.76,3,0.09,Modern Rock
End Over End,Foo Fighters,2005,0.24,0.5,0.44,0,0.92,0,0.64,0.44,0.82,0.09,0.59,4,0.19,Modern Rock
A Bad Dream,Keane,2006,0.21,0.64,0.41,0.01,0.73,0,0.09,0.16,0.8,0.05,0.67,4,0.28,Modern Rock
Something To Talk About,Bonnie Raitt,1991,0.15,0.74,0.81,0.06,0.64,0,0.09,0.06,0.56,0.05,0.47,4,0.96,Sweet Rock
Don't Tell Me You Love Me,Night Ranger,1982,0.18,0.62,0.39,0.04,0.84,0,0.55,0.07,0.66,0.08,0.81,4,0.5,Sweet Rock
Don't Let Go (Love),En Vogue,1997,0.2,0.74,0.63,0.41,0.69,0,0.45,0.29,0.78,0.09,0.36,4,0.57,Sweet Rock
River,Joni Mitchell,1971,0.16,0.8,0.41,0.98,0.15,0,0,0.09,0.55,0.07,0.28,4,0.39,Old Rock
You Keep Runnin' Away,38 Special,1982,0.16,0.3,0.65,0.01,0.71,0,0.82,0.14,0.66,0.06,0.61,4,0.85,Sweet Rock
This Is the Day,The The,2001,0.2,0.67,0.57,0.01,0.88,0,0.91,0.05,0.82,0.09,0.65,4,0.54,Sweet Rock
For All the Cows,Foo Fighters,1995,0.14,0.5,0.37,0.03,0.54,0,0.36,0.23,0.67,0.06,0.57,4,0.52,Sweet Rock
Silver And Cold,AFI,2003,0.17,0.63,0.42,0,0.84,0,0.27,0.33,0.81,0.07,0.6,1,0.37,Modern Rock
Mysterons,Portishead,1994,0.21,0.63,0.67,0.41,0.5,0,1,0.1,0.61,0.48,0.75,4,0.46,Sweet Rock
Into Your Hideout,Pilot Speed,2006,0.16,0.1,0.53,0,0.71,0,0.18,0.1,0.74,0.07,0.64,4,0.27,Modern Rock
Love of a Lifetime,Firehouse,1990,0.19,0.73,0.48,0,0.48,0,0.09,0.08,0.6,0.06,0.56,4,0.13,Sweet Rock
Spies,Coldplay,2000,0.22,0.69,0.31,0.02,0.67,0,0.09,0.05,0.79,0.06,0.68,4,0.07,Sweet Rock
